batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
0b91b5d5,R Smith,B Muzarabani,87.7,Kim Daeyeon,85.3,Abdur Razzak,83.4
0ba9de33,HER Tyler,RW Chakabva,86.3,Jordan O'Brien,80.0,Imran Nazir,77.5
0bab1be2,M Fru,D Jakiel,86.2,N Nuntarach,85.1,AJ Jabiri,83.2
0bb68705,VC Ahir,J Miyaji,69.0,SW Poynter,67.0,SP Narine,66.1
0bd536fb,P Raho,D Heyliger,81.7,Sayed Monib,81.3,PJ Cummins,81.0
0bf15e52,Harmeet Singh,Hassan Nawaz,87.2,AD Russell,83.3,OJ Hairs,81.7
0c1da0c4,V Balakrishnan,P Nissanka,92.3,DPMD Jayawardene,91.2,Sami Sohail,90.9
0c24fb7b,S Yeshi,B Muzarabani,86.2,M Theekshana,78.3,PVD Chameera,75.8
0c95e20e,F Clarke,AN Toube,75.2,N Nuntarach,74.9,P Suanchuai,74.7
0ca1ea55,HMHE Parsons,RW Chakabva,85.8,Parvez Hossain Emon,79.1,HER Tyler,78.9
0cea2730,J Pakeman,AJ Jabiri,77.8,N Nuntarach,77.8,D Jakiel,75.3
0cfb42b5,Abdul Majid Abbasi,E Kubwimana,86.5,Bilal Khan,85.9,CA Young,85.7
0d0f0385,F Akankwasa,Ainool Hafizs,69.3,Haris Rauf,67.8,G Bakiweyem,65.5
0d15a8c9,Zahid Ali,Ali Naseer,79.0,J Botha,76.2,Vinay Ravi,75.8
0d37dea9,DE Budge,K Piet,76.1,C Wright,74.9,Kim Daeyeon,74.8
0d38ab25,H Fennell,R Ngarava,80.3,DJ Willey,68.4,F Nsubuga,67.9
0d4d3cb1,R Dhiman,Ainool Hafizs,75.8,C Kyewuta,69.4,G Bakiweyem,63.4
0d51e658,CD Barnwell,P Useni,77.2,Shahid Afridi,73.0,Shamim Hossain,71.9
0d677597,W Barresi,Dylan Steyn,82.0,PBB Rajapaksa,78.6,PR Stirling,78.3
0d7e506a,V Marghashayam,B Muzarabani,88.4,FJ Klaassen,86.9,V Baskaran,81.6
0d9d3baa,GF Gomes,B Muzarabani,90.9,S Yeshi,80.8,S Rungrueang,78.0
0da52658,AR Gandhi,S Foster,86.0,AP Rajeevan,84.7,CS MacLeod,81.6
0daf3ffc,P Bhart,B Muzarabani,83.5,N Nuntarach,78.3,Kim Daeyeon,77.4
0dbe27b8,BD Glover,FA Allen,71.0,Taskin Ahmed,66.2,SP Narine,62.0
0dc00542,Shahid Afridi,NLTC Perera,92.8,P Useni,91.6,I Takahashi,91.0
0dcd8fbd,Anthony Roe,Khin Aye,89.5,AJ Jabiri,86.5,Thuya Aung,78.1
0e0afd8b,MO Jones,B Kumar,84.3,N Senamontree,82.8,DG Blampied,82.4
0e102c3b,BAA Zammitt,AG Cremer,86.2,Abdur Razzak,83.0,B Muzarabani,78.7
0e34c23a,Adnan Idrees,OJ Hairs,70.6,Mohammad Nawaz,59.8,Aslam Khan,59.5
0e3552e2,S Franklin,B Kumar,81.9,CA Soper,81.7,Pavandeep Singh,74.0
0e4843d2,Hamed Khan,RDB Ahir,81.3,NA Rock,74.3,N Senamontree,71.5
0e4de7de,J Kunnanchirakkal,AU Rashid,81.7,B Kumar,79.8,FJ Klaassen,75.3
0e56c514,HJ Manenti,SB Styris,87.2,Afif Hossain,85.4,Shaheryar Butt,84.5
0e5ccbb4,Usman Mushtaq,Ijaz Hussain,77.2,N Senamontree,70.9,G Bakiweyem,66.9
0e63259d,J Campbell,JDS Neesham,76.8,S Austin,73.4,Atif Rasheed,73.1
0e6c2f00,AF Ifill,M Mooketsi,84.7,Ibrahim Hassan,83.7,Waqas Barkat,80.0
0e80e47d,U Shantu,AF Milne,85.7,Muhammad Wafiq,82.0,Z Bimenyimana,80.7
0e93ef92,SJ French,A Randhawa,71.4,Zeerak Chughtai,64.2,JS Kundi,64.1
0ebfb1ad,E Lewis,WAE Burton,92.1,RR Rossouw,92.0,Zeeshan Kukikhel,90.5
0ec2277a,H Jangariya,JM Bairstow,93.7,HG Munsey,92.7,DA Warner,92.3
0ec45a9a,Abubacarr Kuyateh,WJ Cope,83.2,B Muzarabani,80.3,AJ Jabiri,80.0
0ec6a7c3,N Khanna,C de Grandhomme,70.3,NN Odhiambo,70.1,Mudassar Bukhari,63.8
0ecb4de6,Rehan Ahmed,P Useni,87.5,FA Allen,86.5,Sohaib Maqsood,85.3
0ed66ce6,C Forshaw,Bilal Khan,91.6,Abdur Razzak,89.9,A Zampa,87.4
0ee7ede5,Mahmad Data,B Muzarabani,86.0,S Yeshi,85.0,Abdur Razzak,80.8
0f05655d,Tashi Dorji,P Useni,77.4,YK Pathan,72.8,Shahid Afridi,72.3
0f06d3cd,G Caisley,S Yeshi,78.3,Abdur Razzak,76.8,B Muzarabani,76.3
0f12f9df,NLTC Perera,Manan Ali,94.1,KA Pollard,93.6,MN Waller,93.2
0f1ea8c4,Nelson Jesus Navarrete Aburto,Abdur Razzak,81.5,K Piet,81.4,PVD Chameera,77.7
0f6db197,S Mahmood,K Piet,81.3,AF Milne,74.8,Muhammad Wafiq,73.3
0f6ffe16,Mokbul Ahammed,G Bakiweyem,78.0,AG Cremer,76.6,N Nuntarach,71.5
0f71478c,YSD Seneveratne,G Mckeon,90.0,T Manders,88.7,D Visser,87.4
0f721006,JO Holder,JA Morkel,89.6,R Shepherd,88.6,S Dube,88.3
0f72f582,LB Ferbrache,Sufyan Mehmood,78.7,Zeerak Chughtai,78.0,DG Blampied,76.6
0f88e2dc,Shafraz Jaleel,B Muzarabani,89.4,S Yeshi,84.5,Abdur Razzak,81.2
0f8e08ad,SO Olayinka,HR Walsh,85.3,S Yeshi,76.9,B Muzarabani,69.5
0f9c9d1d,DC Delany,B Muzarabani,86.4,S Yeshi,84.8,Abdur Razzak,81.6
0fa5042b,L Ronchi,V Shukla,90.6,J Sumerauer,88.7,Sher Sahak,85.4
0fa81719,V Saini,KC Sangakkara,95.1,Mohammad Hafeez,94.2,Abdul Waheed,93.9
0fa92a21,C Bayraktar,Umair Qasim,64.3,Mahedi Hasan,62.7,GC Murtaza,59.3
0fc88c2a,SMK Waththage,B Kumar,80.7,CA Young,77.9,Pavandeep Singh,75.6
0fdabe05,V Sibanda,Khawar Ali,87.1,WTS Porterfield,85.9,M Taylor,84.3
101373a3,Shehzad Patel,K Hinds,58.3,A Natubhai Ahir,54.5,Mirza Ahsan,52.8
101b1180,V Shukla,S Jora,90.9,L Ronchi,90.6,SR Bhudia,89.0
1021b6e5,J Rasu,A Venkatesh,79.7,Arjun Vinod,78.5,Yasir Ali,77.8
107c26fb,KT Maphaka,Bilal Khan,88.1,Abdur Razzak,86.5,A Zampa,82.8
1087dd78,Mohamed Arief,P Mishra,74.6,Khalid Kail,74.4,MG Bracewell,73.5
10962078,U Sofi,JO Holder,79.9,Sohaib Maqsood,79.4,Rafiullah,78.9
10a2a1ff,PG Fulton,V Mbazo,80.4,Sandeep Goud,79.8,Swann Htet Ko Ko,72.6
10a91f35,Shoaib Akhtar,TG Southee,80.7,Umar Gul,71.5,Mashrafe Mortaza,70.8
10ae134c,Jai Sinh,B Kumar,81.5,AU Rashid,75.5,FJ Klaassen,69.6
