id_a,name_a,id_b,name_b,team,innings_a,innings_b,reason
740742ef,RG Sharma,f29185a1,Abhishek Sharma,India,144,44,same_surname_same_team_no_match_overlap
1a156c88,DJM Short,a90e53ec,MW Short,Australia,23,22,same_surname_same_team_no_match_overlap
1be70c88,LPC Silva,7d608e12,DM de Silva,Sri Lanka,15,44,same_surname_same_team_no_match_overlap
1be70c88,LPC Silva,a97c8ec2,PWH de Silva,Sri Lanka,15,72,same_surname_same_team_no_match_overlap
49235be5,Gurpratap Singh,985b649e,Taranjit Singh,Cyprus,10,12,same_surname_same_team_no_match_overlap
985b649e,Taranjit Singh,ad37baac,Tejwinder Singh,Cyprus,12,7,same_surname_same_team_no_match_overlap
0a509d6b,RK Singh,1c914163,Yuvraj Singh,India,30,49,same_surname_same_team_no_match_overlap
0a509d6b,RK Singh,8b5b6769,Harbhajan Singh,India,30,12,same_surname_same_team_no_match_overlap
1c914163,Yuvraj Singh,244048f6,Arshdeep Singh,India,49,26,same_surname_same_team_no_match_overlap
244048f6,Arshdeep Singh,8b5b6769,Harbhajan Singh,India,26,12,same_surname_same_team_no_match_overlap
5ec41cd7,Jasdeep Singh,e93b6c95,G Singh,United States of America,13,9,same_surname_same_team_no_match_overlap
72861603,GC Smith,91cd48e0,JF Smith,South Africa,31,5,same_surname_same_team_no_match_overlap
23cca426,OF Smith,35205dfc,DR Smith,West Indies,20,32,same_surname_same_team_no_match_overlap
23cca426,OF Smith,85ad2217,DS Smith,West Indies,20,6,same_surname_same_team_no_match_overlap
469ccead,CB Sole,98e908bd,TB Sole,Scotland,7,6,same_surname_same_team_no_match_overlap
6176f240,Chirag Suri,a76d4082,T Suri,United Arab Emirates,28,9,same_surname_same_team_no_match_overlap
019d7ef5,Mohamed Turay,11a22126,A Turay,Sierra Leone,7,16,same_surname_same_team_no_match_overlap
3e326efc,JNT Vare,98299b67,HGV Vare,Papua New Guinea,5,13,same_surname_same_team_no_match_overlap
9cb8d7a6,Imad Wasim,9e9af5f2,Mohammad Wasim,Pakistan,46,12,same_surname_same_team_no_match_overlap
1a448be0,B White,f27f89e8,AR White,Ireland,8,7,same_surname_same_team_no_match_overlap
737e595d,NK Yadav,ef07f354,B Yadav,Nepal,7,11,same_surname_same_team_no_match_overlap
