bowler_id,bowler,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
4c4fa80b,SMSM Senanayake,Rashid Khan,90.5,J Botha,90.2,R Sharma,89.6
4c5d73db,CR Woakes,M Prasidh Krishna,97.2,JR Hazlewood,97.1,Arshdeep Singh,95.3
4d7f517e,AJ Hosein,JR Hopes,75.5,A Zampa,70.2,PWH de Silva,64.7
4ec07775,RN ten Doeschate,SK Raina,91.0,STR Binny,86.0,V Shankar,84.6
4f629497,SE Bond,Z Khan,96.1,B Kumar,93.9,TA Boult,92.0
50758325,B Geeves,BB Sran,66.0,SM Curran,59.6,Kartik Tyagi,56.7
50c6bc2b,LS Livingstone,SC Ganguly,87.4,Shahbaz Ahmed,83.2,V Kohli,82.8
51a3c5ef,MJ McClenaghan,BW Hilfenhaus,96.5,P Awana,95.8,M Morkel,95.5
52294a79,H Sharma,Shahbaz Ahmed,72.4,DJ Hooda,68.4,LS Livingstone,66.1
529eb9e0,OC McCoy,M Pathirana,92.0,SW Tait,77.4,HV Patel,77.0
531f0278,K Santokie,Yash Thakur,80.6,BB Sran,75.1,Mukesh Kumar,71.7
5451a2c1,B Chipli,R Shepherd,71.4,S Dube,68.4,CJ Anderson,58.4
54e52590,Vijaykumar Vyshak,HV Patel,84.6,Yash Dayal,81.5,TU Deshpande,81.0
557153ca,KK Cooper,JP Faulkner,91.4,SL Malinga,89.8,MF Maharoof,87.4
5574750c,JC Archer,Mohammed Siraj,94.8,B Kumar,92.9,PJ Cummins,89.6
5673a3fc,NL McCullum,TM Dilshan,58.6,SK Raina,57.3,AM Nayar,55.2
56ab442f,NM Coulter-Nile,AB Dinda,94.3,RJ Harris,93.8,SR Watson,92.9
5750bcb4,E Malinga,L Ngidi,97.6,Naveen-ul-Haq,93.2,Arshdeep Singh,92.8
57ee1fde,YS Chahal,Imran Tahir,91.9,PP Chawla,90.8,PWH de Silva,90.4
57efa3be,SB Styris,C Green,71.5,SR Watson,70.0,MJ Santner,69.7
59559bc2,J Overton,R Shepherd,61.9,S Dube,60.0,DJ Hooda,56.9
5b040b81,A Singh,A Nehra,92.9,DE Bollinger,92.7,R Vinay Kumar,92.0
5b16a806,A Dananjaya,Shahbaz Ahmed,55.5,DJ Hooda,53.9,Y Venugopal Rao,40.9
5b7ab5a9,CV Varun,JJ Bumrah,95.9,GB Hogg,95.6,Z Khan,93.1
5b8c830e,KH Pandya,AR Patel,89.4,S Nadeem,88.6,MJ Santner,88.2
5bb1a1c4,I Sharma,S Sreesanth,85.8,VG Arora,83.7,Mohammed Siraj,83.3
5bb5a915,M Morkel,AB Dinda,98.3,A Nehra,97.7,BW Hilfenhaus,97.6
5bdcdb72,TM Dilshan,AM Nayar,90.0,Y Venugopal Rao,88.1,Abhishek Sharma,85.0
5d096f3d,RR Powar,Ankit Sharma,90.7,J Botha,86.1,J Yadav,84.2
5d2eea49,Kartik Tyagi,AS Rajpoot,86.4,BB Sran,85.1,PVD Chameera,81.6
5d9a1a73,R Sharma,DL Vettori,96.7,Iqbal Abdulla,94.2,SP Narine,94.2
5f26df4f,VS Malik,K Gowtham,63.8,A Symonds,59.7,BA Bhatt,54.6
5f4e9e8f,RR Raje,V Sehwag,85.9,S Dube,82.2,DJG Sammy,79.6
5f547c8b,Rashid Khan,M Ashwin,93.9,R Sharma,93.0,PV Tambe,92.2
5fa06777,IK Pathan,DW Steyn,95.3,Z Khan,93.2,RJ Harris,93.1
5ffc0565,V Nigam,Akash Madhwal,76.8,CR Brathwaite,69.9,Anureet Singh,68.5
6042bf26,NJ Rimmington,K Gowtham,48.9,J Yadav,47.7,C Green,38.1
60500956,RV Patel,R Parag,64.5,AM Nayar,56.6,SK Raina,55.4
611926bc,GR Napier,A Zampa,77.3,NT Ellis,74.6,AC Thomas,74.4
62175638,Karim Janat,R Shepherd,69.9,S Dube,67.1,CJ Anderson,63.3
626c5379,R Sathish,LS Livingstone,87.6,DJ Hussey,86.9,V Kohli,86.0
62af8546,Mohammad Nabi,R Tewatia,82.0,STR Binny,80.7,SK Raina,80.1
63bff7f9,SM Harwood,DR Sams,88.0,MG Johnson,79.3,S Sreesanth,78.3
641ac5ff,IS Sodhi,SK Warne,96.1,A Kumble,92.1,PP Ojha,91.9
64775749,RP Meredith,M Jansen,90.4,K Rabada,89.7,Shivam Mavi,89.5
64839cb3,M Pathirana,DJ Bravo,89.2,HV Patel,88.9,VY Mahesh,82.2
64a4c383,S Sriram,S Dube,73.4,R Shepherd,66.0,Shahbaz Ahmed,59.5
64c34cd0,Shoaib Malik,MP Stoinis,81.7,DJ Hooda,72.5,R Parag,69.1
64d43928,Sohail Tanvir,SL Malinga,92.8,MF Maharoof,91.5,DE Bollinger,90.5
650d5e49,R Powell,Joginder Sharma,71.7,A Ashish Reddy,61.6,Akash Madhwal,61.6
6581d753,JM Kemp,V Shankar,75.4,SW Tait,63.4,KA Pollard,62.1
65b6943c,L Wood,PVD Chameera,83.9,Kartik Tyagi,79.2,A Mithun,74.0
662c47a6,Y Nagar,S Dube,84.1,MP Stoinis,83.0,CJ Anderson,77.5
66b30f71,AB Dinda,M Morkel,98.3,RJ Harris,97.6,RP Singh,96.3
66cf56a5,A Mithun,AS Rajpoot,84.9,Kartik Tyagi,75.2,PVD Chameera,61.4
670709ec,SB Joshi,Shahbaz Ahmed,69.2,TM Dilshan,68.9,AM Nayar,65.3
67af6f81,RW Price,C de Grandhomme,62.9,Shahbaz Ahmed,62.0,RG Sharma,60.4
6821ac10,JJ van der Wath,A Nortje,76.3,Yash Thakur,75.5,PVD Chameera,74.1
6834d1f2,B Stanlake,MG Johnson,96.4,KK Ahmed,94.3,UT Yadav,93.4
68c56d09,KA Jamieson,K Rabada,94.1,Harshit Rana,92.1,A Nortje,92.1
69be866a,Anureet Singh,Akash Madhwal,85.1,JP Faulkner,81.5,A Nortje,77.1
6a26221c,AK Markram,SC Ganguly,89.0,N Rana,88.9,Y Venugopal Rao,87.8
6ad3a659,P Amarnath,SM Curran,70.7,A Zampa,68.6,NLTC Perera,61.9
6aed7e79,PV Tambe,M Ashwin,94.1,SK Trivedi,93.5,DL Vettori,93.2
6b19d823,A Mishra,Kuldeep Yadav,93.0,PP Ojha,92.0,Imran Tahir,91.8
6b8eb6e5,S Sreesanth,MG Johnson,92.6,Mohammed Siraj,90.4,RP Singh,90.2
6c19c6e5,YBK Jaiswal,S Dube,65.7,R Shepherd,63.1,CJ Anderson,60.2
6c6591ab,PP Ojha,SK Warne,96.4,GB Hogg,96.3,Imran Tahir,95.2
6eb146d2,Gurkeerat Singh,MC Henriques,80.1,MJ Santner,78.4,GJ Maxwell,75.9
6ec424a9,ND Doshi,Pankaj Singh,69.9,Basil Thampi,66.4,Mukesh Choudhary,61.8
6ef60d3a,Kamran Khan,MA Starc,78.2,AD Russell,76.1,VY Mahesh,74.6
6f49cc6e,Shivam Sharma,K Kartikeya,90.7,Suyash Sharma,87.5,Rashid Khan,85.7
7210d461,Yash Dayal,PJ Cummins,91.3,Mohsin Khan,91.2,K Rabada,91.0
725529bc,SC Ganguly,AK Markram,89.0,DR Smith,89.0,N Rana,88.7
73ad96ed,DJ Hooda,C de Grandhomme,87.8,Shahbaz Ahmed,84.9,Y Venugopal Rao,77.8
73c18486,KR Mayers,TM Dilshan,51.6,R Parag,50.8,C de Grandhomme,47.6
740742ef,RG Sharma,C de Grandhomme,88.3,SC Ganguly,86.4,AK Markram,84.5
75224f22,KMA Paul,MR Marsh,71.2,HH Pandya,69.4,DJ Bravo,68.8
752f7486,Ishan Kishan,RG Sharma,60.1,S Dube,57.9,JEC Franklin,57.1
756389bd,S Vidyut,Mujeeb Ur Rahman,71.0,Arshad Khan,65.5,VR Aaron,65.2
