batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
26ff4c29,RJ Peterson,P Kumar,71.8,JC Archer,61.8,I Sharma,58.7
271f83cd,SA Yadav,H Klaasen,94.9,KP Pietersen,94.3,AB de Villiers,93.3
2728e7e9,P Dogra,GH Vihari,74.3,M Kaif,71.1,YS Chahal,70.6
272d796e,BR Dunk,SA Asnodkar,61.2,PP Shaw,52.9,AJ Finch,48.8
27af6414,BJ Rohrer,AB de Villiers,95.8,SA Yadav,92.8,YK Pathan,92.4
27e71d47,K Upadhyay,Bipul Sharma,74.8,KV Sharma,73.0,R Ashwin,66.3
2815fe50,AA Jhunjhunwala,M Kaif,72.3,TL Suman,65.8,S Badrinath,62.7
287686fd,S Narwal,JC Archer,50.5,P Negi,50.0,CA Ingram,48.1
28c78fb3,Harpreet Singh,KH Pandya,66.9,PK Garg,64.9,M Manhas,64.0
297b26da,Yashpal Singh,M Kaif,83.0,GH Vihari,80.4,AA Jhunjhunwala,67.4
29d72eb2,AA Chavan,RD Chahar,41.0,AP Tare,37.2,MD Mishra,35.2
29e95537,AM Rahane,SV Samson,96.2,F du Plessis,94.1,B Sai Sudharsan,93.3
2a2e6343,DT Christian,S Gopal,72.2,SK Warne,68.4,R Sathish,62.1
2a72fd4f,Harmeet Singh,NM Coulter-Nile,50.1,P Negi,49.4,Harbhajan Singh,47.1
2af1b6d2,AN Ahmed,A Ashish Reddy,74.4,DS Kulkarni,70.8,RN ten Doeschate,67.4
2b6e6dec,AC Gilchrist,V Sehwag,94.9,DR Smith,94.8,CH Gayle,93.2
2bb09eb2,Mohammad Ashraful,S Nadeem,79.6,TG Southee,78.0,MM Sharma,75.9
2be41edb,MJ Guptill,Abhishek Sharma,90.2,PD Salt,89.3,N Pooran,85.4
2c25d4f5,D Padikkal,DA Warner,93.7,RG Sharma,92.4,Ishan Kishan,90.8
2c76b512,DJ Muthuswami,MM Sharma,80.0,A Nehra,70.6,AB Dinda,69.6
2cdce1be,C Sakariya,R Sharma,70.8,A Nehra,69.5,MM Sharma,66.9
2cffab74,Mukesh Kumar,AB Dinda,91.8,PP Ojha,88.8,A Nehra,88.8
2d140b79,AA Kulkarni,RD Chahar,70.1,MJ McClenaghan,64.1,MM Sharma,61.8
2e11c706,BCJ Cutting,Naman Dhir,90.5,TH David,88.0,RN ten Doeschate,83.6
2e171977,AR Patel,S Dube,92.1,RK Singh,91.5,H Klaasen,91.3
2e78f685,KR Sen,S Nadeem,87.9,A Nehra,87.6,MM Sharma,85.3
2e81a32d,B Kumar,YS Chahal,89.6,AB Dinda,84.6,TG Southee,83.4
2e8994e7,JP Duminy,BJ Hodge,94.9,KL Rahul,93.9,SS Tiwary,92.1
2e9fdf9b,DAJ Bracewell,Bipul Sharma,77.2,AB Agarkar,69.7,DJ Mitchell,66.5
2ed569a0,RD Chahar,Ravi Bishnoi,59.2,R Sharma,55.7,MJ McClenaghan,54.9
2eeb4370,C Madan,MS Bisla,54.9,SA Asnodkar,54.5,SP Goswami,51.6
2f49c897,Mohammed Siraj,SL Malinga,87.4,MG Johnson,72.1,B Kumar,68.2
2f9d0389,LH Ferguson,JD Unadkat,75.5,DB Das,68.6,DJ Bravo,68.2
