bowler_id,bowler,country,matches,total_overs,total_wickets,career_economy,career_sr_bowl,phase_group,score_accuracy,score_control,score_threat,overall_score,overall_grade,grade_accuracy,grade_control,grade_threat,archetype,avg_wicket_quality_mean,bowled_lbw_pct,peak_composite_bowling,peak_window_composite,flat_track_index_bowl,war_bowling,war_bowling_rate,clutch_index_bowl,pressure_spells,avg_dominance_bowl,pct_dominant_bowl,bowl_first_index,bowl_second_index,condition_dependence_index_bowl,condition_dependence_tag_bowl,condition_spread_bowl,is_provisional_bowl
cc1e8c68,UT Yadav,Kolkata Knight Riders,147,509.33,163,8.72,18.75,pp_heavy,28.4,54.0,64.6,49.0,B,C,B,B+,Utility Player,0.77,0.21,0.21,0.57,0.1,1.34,0.01,-0.24,16,-0.77,0.77,0.16,-0.16,0.11,Conditions-Proof,0.03,False
39f82db3,DJ Harris,Deccan Chargers,2,3.0,0,8.67,999.0,middle_heavy,28.1,42.7,9.4,26.7,C,C,C+,D,Utility Player,0.0,0.0,,,,0.19,,,0,,,,,,,,True
8dc152d1,D Jansen,Mumbai Indians,1,4.0,1,13.25,24.0,death_heavy,28.0,28.1,28.3,28.1,C,C,C,C,Utility Player,1.0,0.0,,,,0.08,,,0,1.59,0.0,,,,,,True
670709ec,SB Joshi,Royal Challengers Bangalore,4,9.17,1,8.95,55.0,middle_heavy,27.9,41.3,12.3,27.2,C,C,C+,D,Utility Player,0.38,0.0,,,,0.22,,,1,-0.47,0.6,,,,,,True
35205dfc,DR Smith,Gujarat Lions,46,89.83,27,9.18,19.96,middle_heavy,27.6,31.2,60.8,39.9,C+,C,C+,B+,Utility Player,0.46,0.37,-0.4,0.29,0.06,0.89,0.02,,2,-0.32,0.52,0.59,-0.59,-0.06,Conditions-Proof,-0.03,False
1cb14aa4,CJ Dala,Delhi Daredevils,1,3.0,0,11.33,999.0,middle_heavy,27.5,19.1,24.1,23.6,C,C,C,C,Utility Player,0.0,0.0,,,,0.0,,,0,0.28,0.5,,,,,,True
d2c2b2d5,SR Tendulkar,Mumbai Indians,4,6.0,0,9.83,999.0,middle_heavy,27.4,11.3,0.8,13.2,D,C,D,D,Utility Player,0.0,0.0,,,,0.04,,,1,1.23,0.33,,,,,,True
844e79d1,D Brevis,Mumbai Indians,1,0.5,1,16.0,3.0,death_heavy,27.3,31.8,40.4,33.2,C+,C,C+,C+,Utility Player,1.4,1.0,,,,0.34,,,1,,,,,,,,True
9f77963a,Gulbadin Naib,Delhi Capitals,1,1.0,0,12.0,999.0,middle_heavy,27.0,22.1,18.7,22.6,C,C,C,C,Utility Player,0.0,0.0,,,,0.0,,,0,,,,,,,,True
30a45b23,SPD Smith,Pune Warriors,1,0.33,0,15.0,999.0,death_heavy,26.9,32.0,24.2,27.7,C,C,C+,C,Utility Player,0.0,0.0,,,,0.06,,,1,,,,,,,,True
1c2a64cd,A Ashish Reddy,Sunrisers Hyderabad,20,43.67,19,9.16,13.79,middle_heavy,26.9,24.7,74.8,42.1,C+,C,C,B+,Utility Player,0.82,0.47,-0.37,-0.07,-0.26,0.93,0.05,-0.03,5,-0.02,0.62,0.19,-0.19,-0.19,Flat-Track Leaker,-0.17,False
7dcb9bc9,M Shahrukh Khan,Gujarat Titans,3,3.0,1,9.67,18.0,middle_heavy,26.8,41.4,31.4,33.2,C+,C,C+,C+,Utility Player,0.4,0.0,,,,0.31,,,0,,,,,,,,True
2cdce1be,C Sakariya,Rajasthan Royals,20,74.0,20,8.77,22.2,pp_heavy,26.8,22.1,6.5,18.5,C,C,C,D,Utility Player,0.86,0.1,0.54,0.38,0.07,0.33,0.02,,1,-0.77,0.69,0.02,-0.02,0.48,Tough-Track Enforcer,0.29,False
f834dcfc,L Ngidi,Chennai Super Kings,16,62.0,32,8.73,11.62,pp_heavy,26.8,39.1,79.8,48.6,B,C,C+,A,Utility Player,1.19,0.19,0.93,1.02,-0.11,1.22,0.08,,2,-0.75,0.68,0.12,-0.12,-0.33,Flat-Track Leaker,-0.18,False
b51f72a5,SS Agarwal,Gujarat Lions,1,4.0,1,10.5,24.0,middle_heavy,26.6,29.9,30.1,28.9,C,C,C,C+,Utility Player,1.5,0.0,,,,0.07,,,0,-0.39,0.5,,,,,,True
d3611425,LI Meriwala,Delhi Capitals,1,3.0,1,10.67,18.0,pp_heavy,26.5,21.1,30.4,26.0,C,C,C,C+,Utility Player,1.5,0.0,,,,0.05,,,0,-0.07,0.5,,,,,,True
e84ac20c,MJ Henry,Lucknow Super Giants,6,17.0,3,10.76,34.0,pp_heavy,26.4,33.1,2.6,20.7,C,C,C+,D,Utility Player,0.47,0.0,,,-0.07,0.23,,,0,0.18,0.6,,,,,,True
aad0c365,Nithish Kumar Reddy,Sunrisers Hyderabad,12,23.17,8,11.01,17.38,middle_heavy,26.4,44.1,49.3,39.9,C+,C,C+,B,Utility Player,0.45,0.12,0.09,-0.04,0.12,0.69,0.06,,0,0.49,0.25,,,0.07,Conditions-Proof,,True
b2a79f17,B Laughlin,Rajasthan Royals,9,28.0,10,10.14,16.8,middle_heavy,26.4,14.8,41.3,27.5,C,C,D,C+,Utility Player,0.72,0.1,,,0.19,0.37,,,2,0.23,0.43,,,,,,True
1ac746c8,Atharva Taide,Punjab Kings,1,0.17,0,24.0,999.0,death_heavy,26.2,26.4,22.3,25.0,C,C,C,C,Utility Player,0.0,0.0,,,,0.0,,,1,,,,,,,,True
77255a9e,RA Tripathi,Rising Pune Supergiant,1,1.0,0,12.0,999.0,middle_heavy,26.1,33.4,14.3,24.6,C,C,C+,D,Utility Player,0.0,0.0,,,,0.07,,,0,,,,,,,,True
86ae8ef2,MB Parmar,Kolkata Knight Riders,1,3.0,0,11.0,999.0,middle_heavy,25.8,22.9,19.7,22.8,C,C,C,C,Utility Player,0.0,0.0,,,,0.0,,,0,0.81,0.0,,,,,,True
ac5ae4af,I Udana,Royal Challengers Bangalore,10,29.0,8,9.86,21.75,middle_heavy,25.8,18.8,30.0,24.9,C,C,C,C+,Utility Player,0.76,0.25,-0.4,-0.57,0.5,0.31,0.03,,2,-0.22,0.56,,,0.0,Conditions-Proof,-0.23,True
